Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
-4,-89.7194,-1.44849,90.9137,16.63,103.809,94.4636,-89.709,-1.3943
-5,-89.5856,-1.45668,108.914,15.3194,117.535,113.251,-89.601,-1.35447
-6,-89.424,-1.44543,127.926,12.82,95.2292,132.869,-89.4574,-1.34489
-7,-89.2537,-1.42856,147.862,13.404,97.8037,153.21,-89.347,-1.31214
-8,-89.0747,-1.41574,167.648,14.7273,96.0886,173.298,-89.4386,-1.34275
-9,-88.8966,-1.41055,185.415,15.3247,93.5156,191.307,-89.2406,-1.13865
-10,-88.7368,-1.41496,202,15.1474,92.6576,208.1,-89.0194,-1.2866
-11,-88.5879,-1.42689,401.36,15.9861,85.7937,408.102,-88.93,-1.30421
Punta Suarez (lat -1.35  lon -89.71),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-89.7158,-1.3443,9.78355,0.856214,4.28978,9.81413,-89.7158,-1.34522
-1,-89.63,-1.36418,17.0251,2.67778,24.0225,17.3542,-89.6219,-1.36307
-2,-89.5667,-1.37982,29.1185,10.38,48.9026,29.6259,-89.5284,-1.38296
