"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"304","CORA","PLAZ",0.311316666666667,-89.97515,-0.567566666666667,-90.1736166666667,102390.29357683
"305","CUEV","PLAZ",-1.25335,-90.3741,-0.567566666666667,-90.1736166666667,81285.5726333173
"306","DAPH","PLAZ",-0.4258,-90.3721166666667,-0.567566666666667,-90.1736166666667,27984.5749673343
"307","EGAS","PLAZ",-0.2596,-90.8687833333333,-0.567566666666667,-90.1736166666667,90952.875702617
"308","ELI","PLAZ",-0.59505,-91.0859,-0.567566666666667,-90.1736166666667,240943.49875249
"309","GARD","PLAZ",-1.36546666666667,-89.6393166666667,-0.567566666666667,-90.1736166666667,108031.762891565
"310","PCAL","PLAZ",0.286433333333333,-90.5018166666667,-0.567566666666667,-90.1736166666667,103150.871671009
"311","PESP","PLAZ",-0.272283333333333,-91.4353833333333,-0.567566666666667,-90.1736166666667,226161.88029222
"312","PIN","PLAZ",0.603883333333333,-90.7898333333333,-0.567566666666667,-90.1736166666667,147892.948681634
"313","PLAZ","PLAZ",-0.567566666666667,-90.1736166666667,-0.567566666666667,-90.1736166666667,0
"314","PMAN","PLAZ",-0.458566666666667,-91.3908333333333,-0.567566666666667,-90.1736166666667,231796.96626767
"315","PMOR","PLAZ",-0.7223,-91.3450666666667,-0.567566666666667,-90.1736166666667,208099.763394331
"316","PROJ","PLAZ",-0.40895,-90.7155333333333,-0.567566666666667,-90.1736166666667,67156.3038491716
"317","PVIC","PLAZ",-0.0453666666666667,-91.5430166666667,-0.567566666666667,-90.1736166666667,200305.976587233
"318","RED","PLAZ",0.2706,-91.6264833333333,-0.567566666666667,-90.1736166666667,189988.157300286
"319","SOMB","PLAZ",-0.350816666666667,-90.5685,-0.567566666666667,-90.1736166666667,51157.3658954282
"320","STAFE","PLAZ",-0.799483333333333,-90.04745,-0.567566666666667,-90.1736166666667,29058.5258202898
"321","SUAR","PLAZ",-1.35056666666667,-89.7104333333333,-0.567566666666667,-90.1736166666667,101657.514701981
"322","TOR","PLAZ",-1.01171666666667,-90.8767,-0.567566666666667,-90.1736166666667,100717.947370734
"323","BAR","PMAN",-1.03875,-91.1563666666667,-0.458566666666667,-91.3908333333333,101105.67237504
"324","CDOU","PMAN",-0.302816666666667,-91.6517333333333,-0.458566666666667,-91.3908333333333,49325.3396768085
"325","CHAM","PMAN",-0.469583333333333,-91.6111833333333,-0.458566666666667,-91.3908333333333,28432.7299304803
"326","CMAR","PMAN",-0.00133333333333333,-91.22385,-0.458566666666667,-91.3908333333333,117479.515750502
"327","CORA","PMAN",0.311316666666667,-89.97515,-0.458566666666667,-91.3908333333333,249392.723902057
"328","CUEV","PMAN",-1.25335,-90.3741,-0.458566666666667,-91.3908333333333,191730.655167723
"329","DAPH","PMAN",-0.4258,-90.3721166666667,-0.458566666666667,-91.3908333333333,214309.696933211
"330","EGAS","PMAN",-0.2596,-90.8687833333333,-0.458566666666667,-91.3908333333333,165419.864582253
"331","ELI","PMAN",-0.59505,-91.0859,-0.458566666666667,-91.3908333333333,37317.8833873664
"332","GARD","PMAN",-1.36546666666667,-89.6393166666667,-0.458566666666667,-91.3908333333333,277190.306146231
"333","PCAL","PMAN",0.286433333333333,-90.5018166666667,-0.458566666666667,-91.3908333333333,190302.095147177
"334","PESP","PMAN",-0.272283333333333,-91.4353833333333,-0.458566666666667,-91.3908333333333,23971.5792289616
"335","PIN","PMAN",0.603883333333333,-90.7898333333333,-0.458566666666667,-91.3908333333333,172404.658408106
"336","PLAZ","PMAN",-0.567566666666667,-90.1736166666667,-0.458566666666667,-91.3908333333333,231796.96626767
"337","PMAN","PMAN",-0.458566666666667,-91.3908333333333,-0.458566666666667,-91.3908333333333,0
"338","PMOR","PMAN",-0.7223,-91.3450666666667,-0.458566666666667,-91.3908333333333,30237.3237311657
"339","PROJ","PMAN",-0.40895,-90.7155333333333,-0.458566666666667,-91.3908333333333,189337.110970992
"340","PVIC","PMAN",-0.0453666666666667,-91.5430166666667,-0.458566666666667,-91.3908333333333,51526.8017688454
"341","RED","PMAN",0.2706,-91.6264833333333,-0.458566666666667,-91.3908333333333,89527.5750549884
"342","SOMB","PMAN",-0.350816666666667,-90.5685,-0.458566666666667,-91.3908333333333,204402.038134848
"343","STAFE","PMAN",-0.799483333333333,-90.04745,-0.458566666666667,-91.3908333333333,229883.198330062
"344","SUAR","PMAN",-1.35056666666667,-89.7104333333333,-0.458566666666667,-91.3908333333333,267621.927368123
"345","TOR","PMAN",-1.01171666666667,-90.8767,-0.458566666666667,-91.3908333333333,131079.148622009
"346","BAR","PMOR",-1.03875,-91.1563666666667,-0.7223,-91.3450666666667,77408.4695017008
"347","CDOU","PMOR",-0.302816666666667,-91.6517333333333,-0.7223,-91.3450666666667,62681.0196674565
"348","CHAM","PMOR",-0.469583333333333,-91.6111833333333,-0.7223,-91.3450666666667,41788.4099211284
"349","CMAR","PMOR",-0.00133333333333333,-91.22385,-0.7223,-91.3450666666667,146835.677638526
"350","CORA","PMOR",0.311316666666667,-89.97515,-0.7223,-91.3450666666667,278748.885790082
"351","CUEV","PMOR",-1.25335,-90.3741,-0.7223,-91.3450666666667,168033.452294384
"352","DAPH","PMOR",-0.4258,-90.3721166666667,-0.7223,-91.3450666666667,190612.494059872
"353","EGAS","PMOR",-0.2596,-90.8687833333333,-0.7223,-91.3450666666667,191389.085281774
"354","ELI","PMOR",-0.59505,-91.0859,-0.7223,-91.3450666666667,33055.8968947919
"355","GARD","PMOR",-1.36546666666667,-89.6393166666667,-0.7223,-91.3450666666667,253493.103272892
"356","PCAL","PMOR",0.286433333333333,-90.5018166666667,-0.7223,-91.3450666666667,219658.257035202
"357","PESP","PMOR",-0.272283333333333,-91.4353833333333,-0.7223,-91.3450666666667,53327.7411169863
"358","PIN","PMOR",0.603883333333333,-90.7898333333333,-0.7223,-91.3450666666667,201760.820296131
"359","PLAZ","PMOR",-0.567566666666667,-90.1736166666667,-0.7223,-91.3450666666667,208099.763394331
"360","PMAN","PMOR",-0.458566666666667,-91.3908333333333,-0.7223,-91.3450666666667,30237.3237311657
"361","PMOR","PMOR",-0.7223,-91.3450666666667,-0.7223,-91.3450666666667,0
"362","PROJ","PMOR",-0.40895,-90.7155333333333,-0.7223,-91.3450666666667,173236.594748133
"363","PVIC","PMOR",-0.0453666666666667,-91.5430166666667,-0.7223,-91.3450666666667,80882.9636568701
"364","RED","PMOR",0.2706,-91.6264833333333,-0.7223,-91.3450666666667,118883.736943013
"365","SOMB","PMOR",-0.350816666666667,-90.5685,-0.7223,-91.3450666666667,183541.887479927
"366","STAFE","PMOR",-0.799483333333333,-90.04745,-0.7223,-91.3450666666667,206185.995456723
"367","SUAR","PMOR",-1.35056666666667,-89.7104333333333,-0.7223,-91.3450666666667,243924.724494783
"368","TOR","PMOR",-1.01171666666667,-90.8767,-0.7223,-91.3450666666667,107381.94574867
