"","journeyID","pathPoints2_oct_surf","pathPoints2_oct_20","pathPoints2_oct_50","pathPoints2_year_surf","pathPoints2_year_20","pathPoints2_year_50","pathPoints2old_oct_surf","pathPoints2old_oct_20","pathPoints2old_oct_50","pathPoints2old_year_surf","pathPoints2old_year_20","pathPoints2old_year_50"
"211","GARD_PLAZ",-0.176896288471491,-0.102848129846165,0.00571650642432602,-0.221380042415231,-0.127848922968712,-0.0296437455760981,-0.173817185022345,-0.101573711810267,-0.00203820224754671,-0.215885691696983,-0.125886174969504,-0.0365132115729769
"212","GARD_PMAN",-0.0625024798781351,-0.00454922416383467,-0.00266876740195397,-0.0544168305291831,0.00328539685182713,0.0030383827733377,-0.0638565075762584,-0.00316365890022512,-0.00540001753576824,-0.0463529127452932,0.0110724233957704,0.00532765981360614
"213","GARD_PMOR",-0.0701997369816797,-0.00523184831731994,-0.00256954880988121,-0.0577538892033953,0.00474922982088092,0.00485341388947402,-0.0703116967391262,-0.00407234465593828,-0.00523967858981351,-0.0482475667511281,0.0130041982746685,0.00740415435218674
"214","GARD_PROJ",-0.164934904487259,-0.0824474565652834,-0.0128898646837323,-0.184143308992701,-0.095020674574063,-0.0311397392516331,-0.17152553538697,-0.0854167806878243,-0.021896696723478,-0.18808285862838,-0.0960325947621008,-0.0347015131399144
"215","GARD_PVIC",-0.182977159729618,-0.118502422440338,-0.0520309473355574,-0.184274650012555,-0.111011620069769,-0.0543246700192323,-0.18916480103278,-0.123912010024545,-0.0624286269050099,-0.188652975282504,-0.115226968584944,-0.0613394213330969
"216","GARD_RED",-0.199896011066677,-0.124249189010146,-0.0512682143737551,-0.206070067145699,-0.119773990505895,-0.0551985181170076,-0.220556511437001,-0.138031022202401,-0.0647689388403663,-0.225825937619463,-0.131109179978875,-0.0642520135233167
"217","GARD_SOMB",-0.139438987881902,-0.0680507315051695,0.0108584530880756,-0.169527637471682,-0.0860047000483887,-0.0148135271899812,-0.138327350031469,-0.0691711863813386,0.0047232408957059,-0.167518896503786,-0.0869979395298201,-0.0206050018618598
"218","GARD_STAFE",-0.205098757533251,-0.124921329010334,-0.00155375067268833,-0.259415107130301,-0.157182682970005,-0.043769717284534,-0.20560534771004,-0.126133036564256,-0.00766829683434805,-0.257482177084378,-0.156668893170167,-0.0488761667050336
"219","GARD_SUAR",-0.0309348842684572,-0.00254174166238525,0.00186103239348337,-0.0348262639848522,-0.000732429121523501,0.00109614319624526,-0.0345923781816766,-0.00642378369081383,-0.00135200414390141,-0.0418748349627557,-0.00711201407046859,-0.00116343314339495
"220","GARD_TOR",-0.104378708280139,-0.025887971539138,-0.013654297377764,-0.100996177048714,-0.0215501320593892,-0.00534189721872018,-0.0866149137920579,-0.0138305063265977,-0.0156059668116776,-0.0815055785403672,-0.00885660904632443,-0.00368937692480218
"221","PCAL_BAR",0.153123870175879,0.139205155144608,0.0664594883677814,0.194530946035841,0.162514182406551,0.0777449653871939,0.15570541221286,0.140981392166612,0.0678595854916892,0.196223837208714,0.163863622699234,0.0777457495135408
"222","PCAL_CDOU",-0.127352434488102,-0.0912695869550623,-0.0582677000270262,-0.148289294121474,-0.0998893559128002,-0.0579845012664505,-0.11641709873572,-0.0820685266605543,-0.0531719056778642,-0.141618453677024,-0.0961010204464091,-0.0603236811666288
"223","PCAL_CHAM",-0.0999424542112622,-0.0740529459380836,-0.0531550760167562,-0.12113494410243,-0.085238581919002,-0.0549501851161817,-0.0945214373159207,-0.0692323211164751,-0.0505938143036271,-0.118746913072034,-0.084080883175043,-0.0588002256069066
"224","PCAL_CMAR",-0.0991121444166308,-0.0461221507041411,-0.00281752256240887,-0.106075895498565,-0.0394680183018248,-0.00330841950701118,-0.107066284404987,-0.0501893728426669,0.00179195800320282,-0.117719666566503,-0.0461318449836302,-0.000204611135948258
"225","PCAL_CORA",0.11693378156572,0.0472371620100699,-0.0536553712922157,0.12660131567006,0.0449144645467644,-0.0169716712293608,0.123887032681511,0.0552574318182227,-0.0511363666667694,0.134625806722451,0.0533956543473791,-0.0117834829075924
"226","PCAL_CUEV",0.223431907785966,0.182745380921877,0.0756566493144454,0.249241866043228,0.192852852907788,0.0888379667045389,0.230560593161784,0.19010741787042,0.0809752196409155,0.258805867466406,0.200498886173217,0.0922272992310521
"227","PCAL_DAPH",0.286364747976177,0.246332238267939,0.103003847173682,0.328780111508816,0.262139837066459,0.110145927546881,0.263349310045114,0.226750084856674,0.0988325832845029,0.301639845994494,0.242329716722084,0.10629911933021
"228","PCAL_EGAS",0.139351146746305,0.150415301526415,0.0815124536158989,0.161291434208909,0.165911607541585,0.0962299779790334,0.137071268066397,0.146591642202096,0.0831096924894356,0.159100102370012,0.163528746329658,0.099279967898825
"229","PCAL_ELI",-0.0545502034622165,-0.0544113461654014,-0.0426836457076299,-0.0660002195774802,-0.0585732749733323,-0.0429406950495653,-0.0448774619793419,-0.0484848302348781,-0.0380388092864267,-0.0599371320797082,-0.056289761117795,-0.0439564605919649
"230","PCAL_GARD",0.234781934263953,0.169918270374297,0.036811715535936,0.278818644828466,0.192181792131724,0.0600179233502745,0.238019263374114,0.172673805359481,0.0383286778881618,0.282662951400425,0.194859092032251,0.0612235655289824
"231","PCAL_PESP",-0.096541794970258,-0.0787167599901398,-0.0471590605670396,-0.11043137082522,-0.0823444029795259,-0.0470847251365673,-0.0978853900826671,-0.0776515444819407,-0.0481096793096074,-0.117454373209085,-0.0866601619487199,-0.0551246279687741
"232","PCAL_PIN",-0.227421318790821,-0.147549184367595,-0.021404316413474,-0.262950725962958,-0.155041065875897,0.0103605059426894,-0.212053557850179,-0.137123505208813,-0.0185890901849104,-0.245452244945769,-0.143965284795394,0.0118769025413453
"233","PCAL_PLAZ",0.274237084150688,0.221076669885513,0.0791690374921309,0.319165550645147,0.24121615031897,0.0902280477229935,0.266728882976556,0.212105838383608,0.0811891217669493,0.312478322880451,0.235252066070807,0.0928785903215894
"234","PCAL_PMAN",-0.0827299890501789,-0.0710220899246046,-0.0465218224865039,-0.0940611032887794,-0.0731213331070264,-0.0454728457202704,-0.0799403189658082,-0.0683675411564673,-0.0468609455013232,-0.0951101081074778,-0.0746055840196864,-0.0517913765946917
"235","PCAL_PMOR",-0.0648702934832095,-0.059768054880615,-0.0399462089926857,-0.0709544535263892,-0.0597368225086654,-0.0383722035891773,-0.0673622677436261,-0.0599536953707956,-0.0406691169427265,-0.0782131516644517,-0.0640824861912425,-0.0440613844499069
"236","PCAL_PROJ",0.193078415210102,0.183394112942057,0.0824428014043562,0.226959808367277,0.19846473127084,0.0933212870232658,0.201361718245979,0.189183249161574,0.0845471091434482,0.237641631506475,0.205348059905991,0.0958613102579663
"237","PCAL_PVIC",-0.154765269451818,-0.110919974147805,-0.0548355330177352,-0.175257390393668,-0.116252495057207,-0.05895921940398,-0.144417045945139,-0.102770844333277,-0.0526684550912309,-0.170198220522289,-0.114480851758457,-0.0649337913608215
